month,month_name,samples,auc,accuracy,precision,recall,f1,mae,rmse,r2
1,Jan,15835,0.7332869169818275,0.9215029996842438,0.449438202247191,0.3098106712564544,0.36678553234844624,7.5587482,17.456333,0.0408504
2,Feb,16174,0.8264361103338322,0.7951650797576357,0.6377171215880894,0.6639397201291711,0.6505642864676722,14.9977455,30.308802,0.3224132
3,Mar,17556,0.8452976911072544,0.7911825017088175,0.6665541680728991,0.700354609929078,0.68303648625281,15.799869,31.76953,0.3746854
4,Apr,18341,0.7824588625587321,0.9030587208985333,0.578125,0.3741152679474216,0.45426642111724985,8.507895,19.92102,0.19232172
5,May,19983,0.8512041113528054,0.8338587799629685,0.6706730769230769,0.6286358049979517,0.6489744131951787,13.267628,29.305573,0.3326273
6,Jun,19944,0.8666544848915347,0.8154332129963899,0.7303579067446171,0.7410300925925926,0.7356552962298025,16.936155,33.59271,0.43270993
7,Jul,18835,0.8038312656571109,0.7887974515529599,0.6249045072574484,0.6189935679152478,0.6219349933472724,15.746723,32.08063,0.22042811
8,Aug,20122,0.8324872261461337,0.8322234370340921,0.6455501972818939,0.626062925170068,0.6356572415281675,13.266139,27.94821,0.31857508
9,Sep,19841,0.8142206244694287,0.8870016632226199,0.6309575863576738,0.5079197465681098,0.5627925117004681,9.152128,21.018759,0.27197403
10,Oct,18573,0.8096775207414059,0.8817638507510903,0.640748031496063,0.4703757225433526,0.5425,9.011574,21.195423,0.19887573
11,Nov,16121,0.7601559550859406,0.9157620495006513,0.5255863539445629,0.3506401137980085,0.4206484641638225,8.164476,18.646254,0.14422107
12,Dec,18699,0.7958574947932472,0.8060324081501684,0.5591115357057559,0.5679281901989326,0.563485377301721,13.251328,27.38865,0.26322502
